property_type,sector,bedRoom,bathroom,balcony,agePossession,floor_num,total_floors,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
flat,sector 95,2.0,2.0,2.0,New Property,3.0,19.0,669.0,0,0,1,Medium,Low Floor,0.4
flat,sector 77,3.0,3.0,3.0,New Property,7.0,18.0,1735.03,0,1,1,High,Low Floor,1.35
flat,sector 67a,4.0,4.0,0.0,New Property,4.0,4.0,2993.0,0,0,0,Low,Low Floor,1.85
flat,sector 95,1.0,1.0,1.0,New Property,4.0,14.0,379.97,0,0,0,Low,Low Floor,0.25
flat,sector 89,2.0,2.0,3.0,New Property,2.0,4.0,1438.0,0,0,0,Medium,Low Floor,0.88
flat,sector 99,2.0,2.0,2.0,New Property,2.0,25.0,1364.97,0,0,1,High,Low Floor,1.15
flat,sector 99a,2.0,2.0,2.0,New Property,3.0,19.0,1251.95,0,0,0,Medium,Low Floor,0.85
flat,sector 82a,2.0,2.0,2.0,Moderately Old,1.0,1.0,999.97,0,0,0,Low,Low Floor,0.75
flat,sector 2,4.0,4.0,3.0,New Property,2.0,4.0,5855.0,0,0,0,Low,Low Floor,3.35
flat,sector 88a,3.0,3.0,3.0,New Property,11.0,15.0,1849.99,0,0,0,Low,Low Floor,1.5
flat,sector 91,4.0,4.0,3.0,Moderately Old,11.0,21.0,2363.97,1,0,0,Medium,Low Floor,1.65
flat,sector 91,4.0,4.0,3.0,Moderately Old,16.0,22.0,2727.03,1,0,0,Medium,Low Floor,2.0
flat,sector 68,2.0,2.0,2.0,New Property,1.0,35.0,1536.0,0,0,0,Medium,Low Floor,0.9
flat,sector 70,3.0,3.0,3.0,Under Construction,18.0,25.0,1864.95,0,0,0,Medium,Low Floor,1.25
flat,sector 37c,3.0,3.0,3.0,Moderately Old,8.0,15.0,2000.0,0,0,1,Medium,Low Floor,1.0
flat,dwarka expressway,3.0,3.0,0.0,Under Construction,3.5,21.0,1757.96,0,0,0,Low,Low Floor,1.08
flat,sector 85,3.0,5.0,3.0,New Property,2.0,16.0,2407.99,0,0,0,Low,Low Floor,2.15
flat,sector 67,1.0,1.0,1.0,Moderately Old,17.0,17.0,826.02,0,0,0,Medium,Low Floor,1.0
flat,sector 70a,2.0,2.0,3.0,New Property,23.0,28.0,1261.96,0,0,0,High,Low Floor,1.65
flat,sector 90,4.0,3.0,3.0,Moderately Old,10.0,18.0,2882.0,0,0,0,Medium,Low Floor,1.79
flat,sector 85,3.0,3.0,3.0,Under Construction,30.0,32.0,166.0,0,0,0,Medium,Low Floor,1.8
flat,gwal pahari,3.0,3.0,3.0,Under Construction,4.0,4.0,1429.98,0,0,0,Medium,Low Floor,1.45
flat,sector 7,2.0,2.0,1.0,Moderately Old,0.0,3.0,699.98,0,0,0,Low,Low Floor,0.36
flat,sector 79,3.0,3.0,3.0,Under Construction,1.0,4.0,1533.96,0,0,0,Low,Low Floor,1.15
flat,sohna road,3.0,3.0,0.0,Moderately Old,1.0,1.0,1231.0,0,0,0,Low,Low Floor,1.65
flat,sector 113,4.0,4.0,3.0,Under Construction,11.0,36.0,2990.0,1,0,0,Medium,Low Floor,2.9
flat,sector 92,2.0,2.0,3.0,Under Construction,11.0,13.0,1319.98,0,0,0,Low,Low Floor,0.6
flat,sector 47,3.0,3.0,0.0,Moderately Old,0.0,3.0,3123.0,0,0,1,Low,Low Floor,2.4
flat,sector 70a,2.0,2.0,3.0,Moderately Old,19.0,19.0,1642.0,0,0,0,Low,Low Floor,1.25
flat,sector 65,2.0,2.0,3.0,Moderately Old,28.0,28.0,1433.0,0,0,0,Medium,Low Floor,2.15
flat,sohna road,2.0,2.0,1.0,Moderately Old,4.0,4.0,743.03,0,0,0,Low,Low Floor,0.29
flat,sohna road,2.0,2.0,2.0,Moderately Old,9.0,9.0,750.03,0,0,0,Low,Low Floor,0.38
flat,sector 4,2.0,2.0,1.0,Moderately Old,-1.0,4.0,950.02,0,0,0,Low,Low Floor,0.39
flat,sector 99,3.0,4.0,0.0,New Property,15.0,15.0,2400.03,0,0,0,Low,Low Floor,1.6
flat,sector 68,4.0,4.0,3.0,New Property,2.0,34.0,1998.96,0,0,0,Low,Low Floor,1.7
flat,sector 54,3.0,3.0,3.0,Old Property,0.0,14.0,2995.0,0,0,1,High,Low Floor,3.25
flat,sector 111,2.0,2.0,3.0,New Property,9.0,10.0,924.0,0,0,0,Medium,Low Floor,0.6
flat,sector 95,2.0,2.0,0.0,Moderately Old,1.0,15.0,999.97,0,0,0,Low,Low Floor,0.27
flat,sector 28,2.0,1.0,1.0,Old Property,1.0,1.0,1391.0,0,0,0,Medium,Low Floor,0.95
flat,sector 65,2.0,2.0,3.0,New Property,4.0,34.0,1433.0,0,0,0,Low,Low Floor,2.65
flat,sector 79,2.0,2.0,1.0,New Property,4.0,18.0,546.05,0,0,0,Medium,Low Floor,0.36
flat,sector 37d,2.0,2.0,3.0,New Property,3.0,15.0,599.98,0,0,0,Low,Low Floor,0.55
flat,sector 89,3.0,3.0,3.0,Under Construction,1.0,4.0,1015.0,0,0,0,Medium,Low Floor,1.32
flat,sector 99a,2.0,2.0,3.0,Under Construction,1.0,19.0,1252.16,0,0,0,High,Low Floor,0.59
flat,sector 4,2.0,2.0,1.0,Moderately Old,-0.5,4.0,1106.0,0,0,0,Low,Low Floor,0.45
flat,sector 37d,3.0,3.0,2.0,Moderately Old,13.0,13.0,1284.99,0,0,2,Low,Low Floor,0.9
flat,sector 79,2.0,2.0,2.0,Moderately Old,4.0,40.0,1822.0,1,1,2,Medium,Low Floor,1.4
flat,sohna road,2.0,2.0,3.0,New Property,6.0,18.0,1452.05,0,0,1,Low,Low Floor,0.95
flat,sector 65,3.0,3.0,3.0,Under Construction,20.0,47.0,1828.03,0,0,0,Medium,Low Floor,3.0
flat,sector 65,3.0,3.0,2.0,Under Construction,27.0,48.0,2039.97,1,0,0,Low,Low Floor,3.67
flat,sector 82a,5.0,6.0,3.0,New Property,6.0,7.0,6688.0,1,0,0,High,Low Floor,3.85
flat,sector 65,3.0,3.0,3.0,New Property,33.0,48.0,1828.03,0,0,0,Medium,Low Floor,3.29
